network_size,actual_nodes,connectivity,trial,wave_type,has_wave_comprehensive,wave_speed_comprehensive,has_wave_simple,wave_speed_simple,mean_rotation_angle,mean_rotation_velocity,rotation_quality,circularity,wave_rotation_correspondence
300,289,8,38,2,False,9.630227975306283,True,7.906924673206695,180.0,2.4,0.7548056074171416,0.0,0.5342936761213323
300,289,8,39,3,False,39.50025484232418,True,33.57931944076429,180.0,7.8,0.767742842250492,0.0,0.6230000828700395
300,289,8,40,0,False,43.46922350578585,True,54.42805385566497,0.0,22.2,0.7523479913230179,0.0,0.42057774188454544
300,289,8,41,1,False,28.422513468204954,True,32.439406012154976,180.0,7.5,0.746634521787147,0.0,0.6244310695182244
300,289,8,42,2,False,9.66784086049323,True,8.208180970007064,0.0,16.2,0.7404960653104815,0.0,0.3274237863026579
300,289,8,43,3,False,40.40733249775634,True,25.907068404615394,180.0,23.7,0.7251431186464553,0.0,0.04449100653578639
300,289,8,44,0,False,38.93775765009889,True,55.887947035225466,180.0,3.6,0.7385174616411219,0.0,0.8789670788971006
300,289,8,45,1,False,36.8620600277375,True,51.955536357636646,0.0,16.2,0.7558923586803283,0.0,0.5246167555627763
300,289,8,46,2,False,8.774351409955678,True,7.194285452257796,180.0,0.6,0.7230639365702474,0.0,0.8460410505318361
300,289,8,47,3,False,23.32161949591629,True,61.14342401902191,180.0,9.6,0.7589076591363857,0.0,0.7285966820759163
300,289,8,48,0,False,38.007611914815065,True,45.40086592143014,180.0,7.2,0.7508958759307203,0.0,0.7262402481818094
300,289,8,49,1,False,45.66549041233078,True,63.6204241986041,180.0,19.2,0.7581277915389837,0.0,0.5363462530936801
500,16,4,0,0,False,21.16461558342943,True,488.94471729884754,180.0,21.0,0.48764897383893546,0.0,0.9176381310065065
500,16,4,1,1,False,24.17907067931933,True,42.91360405408759,180.0,17.4,0.48759782879878055,0.0,0.42301574336637865
500,16,4,2,2,False,11.108049296617013,True,5.4931436167504035,180.0,5.4,0.4897839459144462,0.0,0.008550664530514498
500,16,4,3,3,False,13.238838750733276,True,7.422600361947914,180.0,17.4,0.509342105739921,0.0,0.40194820415780685
500,16,4,4,0,False,26.8819896693446,True,17.25240482827035,180.0,19.8,0.4694179906579592,0.0,0.06875654046020253
500,16,4,5,1,False,29.28008811959435,True,14.836621827082897,180.0,2.4,0.47700667946789976,0.0,0.721523158758975
500,16,4,6,2,True,10.887434073148832,True,10.887434073148832,180.0,5.4,0.4787925307153523,0.0,0.3369121279920712
500,16,4,7,3,False,14.30668092609831,True,10.310864365763825,180.0,14.4,0.4545725712055867,0.0,0.1654792634402949
500,16,4,8,0,False,34.81735918948631,True,91.18247014967955,180.0,16.2,0.4696745733570955,0.0,0.6982747746917375
500,16,4,9,1,False,27.322551534042322,True,36.57150218256192,180.0,16.2,0.4560471734977348,0.0,0.38603225869994245
500,16,4,10,2,False,8.894397299556923,True,9.450876884588078,180.0,7.8,0.47917120436175875,0.0,0.09569814309285352
500,16,4,11,3,False,31.65002230516529,True,15.655922629519306,0.0,9.0,0.4716815005890491,0.0,0.2699522840619035
500,16,4,12,0,False,25.84653070960522,True,330.6137390725104,180.0,12.0,0.4896376464053632,0.0,0.929950269755488
500,16,4,13,1,False,38.396562100942816,True,84.24112546013724,0.0,13.2,0.468269056756068,0.0,0.7290671687605554
500,16,4,14,2,False,12.986239732777278,True,5.5337765184901375,180.0,5.4,0.47294606578613774,0.0,0.012235161223817207
